code|name|vocabulary
A11CC03|alfacalcidol; oral, parenteral|ATC
A11CC04|calcitriol; oral, parenteral|ATC
A11CC05|colecalciferol; oral|ATC
A11CC06|calcifediol|ATC
A11CC07|[U] paricalcitol|ATC
A11CC20|vitamin d and analogues - combinations|ATC
A11CC55|colecalciferol, combinations|ATC
A11DA01|thiamine (vit B1); oral, parenteral|ATC
A11DA02|sulbutiamine|ATC
A11DA03|benfotiamine|ATC
A11GA01|ascorbic acid (vit C); oral, parenteral|ATC
A11GB01|ascorbic acid (vit C) and calcium|ATC
A11HA01|nicotinamide; oral|ATC
A11HA02|pyridoxine (vit B6); oral, parenteral|ATC
A11HA03|tocopherol (vit E); oral, parenteral|ATC
A11HA04|riboflavin (vit B2)|ATC
A11HA05|biotin|ATC
A11HA06|pyridoxal phosphate|ATC
A11HA07|inositol|ATC
A11HA08|tocofersolan; oral|ATC
A11HA30|dexpanthenol|ATC
A11HA31|calcium pantothenate|ATC
A11HA32|pantethine|ATC
A12AA01|calcium phosphate; oral|ATC
A12AA02|calcium glubionate; parenteral|ATC
A12AA03|calcium gluconate; oral, parenteral|ATC
A12AA04|calcium carbonate; oral|ATC
A12AA05|calcium lactate; oral|ATC
A12AA06|calcium lactate gluconate; oral|ATC
A12AA07|calcium chloride; parenteral|ATC
A12AA08|calcium glycerylphosphate|ATC
A12AA09|calcium citrate lysine complex; oral|ATC
A12AA10|calcium glucoheptonate; oral|ATC
A12AA11|calcium pangamate|ATC
A12AA12|[U] calcium acetate|ATC
A12AA13|calcium citrate|ATC
A12AA20|calcium (different salts in combination); oral|ATC
A12AA30|calcium laevulate; parenteral|ATC
A12BA01|potassium chloride; oral|ATC
A12BA02|potassium citrate; oral|ATC
A12BA03|potassium hydrogentartrate; oral|ATC
A12BA04|potassium hydrogencarbonate; oral|ATC
A12BA05|potassium gluconate|ATC
A12BA30|potassium (different salts in combination)|ATC
A12BA51|potassium, combinations|ATC
A12CA01|sodium chloride; oral|ATC
A12CA02|sodium sulfate|ATC
A12CB01|zinc sulfate; oral|ATC
A12CB02|zinc gluconate|ATC
A12CB03|zinc protein complex|ATC
A12CB04|zinc orotate|ATC
